,SNo.,Subject,Credit,Core/Elective
0,1,DATA STRUCTURES AND ALGORITHMS LAB(15B17CI578),1,Core
1,2,ELECTROMAGNETIC FIELD THEORY LAB(18B15EC312),1,Core
2,3,EMBEDDED SYSTEMS/IOT LAB(18B15EC313),1,Core
3,4,PYTHON FOR SIGNAL PROCESSING (18B15EC314),1,Core
4,5,MINOR PROJECT-1(15B19EC591),2,Core
5,6,DATA STRUCTURES AND ALGORITHMS(15B11CI518),3,Core
6,7,INDIAN CONSTITUTION & TRADITIONAL KNOWLEDGE(20B13HS311),3,Core
7,8,ELECTROMAGNETIC FIELD THEORY(18B11EC312),4,Core
8,9,INFORMATION THEORY AND APPLICATIONS(17B1NEC735),3,Elective
9,10,MATERIALS SCIENCE(16B1NPH532),3,Elective
10,11,PLANNING AND ECONOMIC DEVELOPMENT(16B1NHS532),3,Elective
